INFO ( 2020-11-15 12:22:46,994 ) : Watching for file changes with StatReloader [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:46,998 ) : Waiting for apps ready_event. [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:52,794 ) : Apps ready_event triggered. Sending autoreload_started signal. [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:52,798 ) : Watching dir C:\Users\test\PycharmProjects\my_pfe_2020\locale with glob **/*.mo. [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:52,798 ) : Watching dir C:\Users\test\PycharmProjects\my_pfe_2020\venv\lib\site-packages\channels\locale with glob **/*.mo. [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:52,798 ) : Watching dir C:\Users\test\PycharmProjects\my_pfe_2020\pages\locale with glob **/*.mo. [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:52,798 ) : Watching dir C:\Users\test\PycharmProjects\my_pfe_2020\reports_side\locale with glob **/*.mo. [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:52,798 ) : Watching dir C:\Users\test\PycharmProjects\my_pfe_2020\authentication\locale with glob **/*.mo. [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:52,798 ) : Watching dir C:\Users\test\PycharmProjects\my_pfe_2020\monitor_side\locale with glob **/*.mo. [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:52,798 ) : Watching dir C:\Users\test\PycharmProjects\my_pfe_2020\venv\lib\site-packages\django_extensions\locale with glob **/*.mo. [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:52,802 ) : Watching dir C:\Users\test\PycharmProjects\my_pfe_2020\venv\lib\site-packages\log_viewer\locale with glob **/*.mo. [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:52,802 ) : Watching dir C:\Users\test\PycharmProjects\my_pfe_2020\configuration_side\locale with glob **/*.mo. [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,094 ) : (0.016) SELECT @@SQL_AUTO_IS_NULL; args=None [ utils 15788 8948 ] 
DEBUG ( 2020-11-15 12:22:53,094 ) : (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None [ utils 15788 8948 ] 
DEBUG ( 2020-11-15 12:22:53,098 ) : (0.000) SHOW FULL TABLES; args=None [ utils 15788 8948 ] 
DEBUG ( 2020-11-15 12:22:53,114 ) : (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=() [ utils 15788 8948 ] 
DEBUG ( 2020-11-15 12:22:53,118 ) : Daphne running, listening on 127.0.0.1:8000 [ runserver 15788 8948 ] 
DEBUG ( 2020-11-15 12:22:53,986 ) : File C:\Users\test\PycharmProjects\my_pfe_2020\venv\Lib\site-packages\pysnmp\carrier\asyncore\dgram\unix.py first seen with mtime 1600769463.1332562 [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,986 ) : File C:\Users\test\PycharmProjects\my_pfe_2020\venv\Lib\site-packages\win32\lib\sspi.py first seen with mtime 1602084660.4311254 [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,986 ) : File C:\Users\test\PycharmProjects\my_pfe_2020\venv\Lib\site-packages\log_viewer\urls.py first seen with mtime 1598941547.0 [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,986 ) : File C:\Users\test\PycharmProjects\my_pfe_2020\venv\Lib\site-packages\pysnmp\proto\mpmod\rfc3412.py first seen with mtime 1600769463.2190533 [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,986 ) : File C:\Users\test\PycharmProjects\my_pfe_2020\venv\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1601147833.5530148 [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,986 ) : File C:\Users\test\PycharmProjects\my_pfe_2020\venv\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1601147833.3379517 [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,986 ) : File C:\Users\test\PycharmProjects\my_pfe_2020\venv\Lib\site-packages\django\__init__.py first seen with mtime 1601147820.9538693 [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,990 ) : File C:\Users\test\PycharmProjects\my_pfe_2020\venv\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1601147833.4247184 [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,990 ) : File C:\Users\test\PycharmProjects\my_pfe_2020\venv\Lib\site-packages\paramiko\util.py first seen with mtime 1603136765.5800252 [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,990 ) : File C:\Users\test\AppData\Local\Programs\Python\Python38-32\Lib\typing.py first seen with mtime 1582669836.0 [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,990 ) : File C:\Users\test\PycharmProjects\my_pfe_2020\venv\Lib\site-packages\channels\__init__.py first seen with mtime 1602083969.6738284 [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,990 ) : File C:\Users\test\PycharmProjects\my_pfe_2020\monitor_side\__init__.py first seen with mtime 1602028029.071145 [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,994 ) : File C:\Users\test\PycharmProjects\my_pfe_2020\venv\Lib\site-packages\twisted\_version.py first seen with mtime 1584520331.0 [ autoreload 15788 8868 ] 
DEBUG ( 2020-11-15 12:22:53,994 ) : File C:\Users\test\PycharmProjects\my_pfe_2020\venv\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1601147833.2212644 [ autoreload 15788 8868 ] 
