INFO ( 2020-11-15 12:22:46,994 ) : Watching for file changes with StatReloader [ autoreload 15788 8868 ] 
INFO ( 2020-11-15 12:22:55,722 ) : HTTP GET /admin/log_viewer/ 200 [0.34, 127.0.0.1:58540] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:22:56,102 ) : HTTP GET /admin/log_viewer/json/ 200 [0.05, 127.0.0.1:58540] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:22:59,886 ) : HTTP GET /admin/log_viewer/json/error.log 200 [0.36, 127.0.0.1:58540] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:05,266 ) : HTTP GET / 302 [0.03, 127.0.0.1:58540] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:05,426 ) : HTTP GET / 302 [0.05, 127.0.0.1:58541] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:09,350 ) : HTTP GET /dashboard 200 [3.91, 127.0.0.1:58541] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:33,522 ) : HTTP GET /admin/login/ 302 [0.04, 127.0.0.1:58541] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:33,710 ) : HTTP GET /admin/ 200 [0.18, 127.0.0.1:58541] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:33,794 ) : HTTP GET /static/admin/css/dashboard.css 304 [0.02, 127.0.0.1:58541] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:33,886 ) : HTTP GET /static/admin/img/icon-addlink.svg 304 [0.03, 127.0.0.1:58541] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:33,886 ) : HTTP GET /static/admin/img/icon-changelink.svg 304 [0.03, 127.0.0.1:58551] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:33,894 ) : HTTP GET /static/admin/img/icon-deletelink.svg 304 [0.03, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:36,178 ) : HTTP GET /admin/auth/user/ 200 [0.54, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:36,338 ) : HTTP GET /static/admin/js/vendor/jquery/jquery.js 304 [0.02, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:36,350 ) : HTTP GET /static/admin/js/jquery.init.js 304 [0.02, 127.0.0.1:58551] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:36,506 ) : HTTP GET /static/admin/js/core.js 304 [0.06, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:36,518 ) : HTTP GET /static/admin/js/admin/RelatedObjectLookups.js 304 [0.06, 127.0.0.1:58559] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:36,522 ) : HTTP GET /static/admin/js/actions.js 304 [0.06, 127.0.0.1:58560] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:36,530 ) : HTTP GET /static/admin/js/prepopulate.js 304 [0.06, 127.0.0.1:58551] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:36,542 ) : HTTP GET /static/admin/js/urlify.js 304 [0.05, 127.0.0.1:58561] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:36,546 ) : HTTP GET /admin/jsi18n/ 200 [0.11, 127.0.0.1:58541] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:36,558 ) : HTTP GET /static/admin/js/vendor/xregexp/xregexp.js 304 [0.02, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:36,742 ) : HTTP GET /static/admin/img/search.svg 304 [0.01, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:36,762 ) : HTTP GET /static/admin/img/icon-no.svg 304 [0.01, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:36,938 ) : HTTP GET /static/admin/img/icon-yes.svg 304 [0.02, 127.0.0.1:58557] [ runserver 15788 8948 ] 
INFO ( 2020-11-15 12:23:37,054 ) : HTTP GET /static/admin/img/tooltag-add.svg 304 [0.01, 127.0.0.1:58557] [ runserver 15788 8948 ] 
